id,government_id,diagnosed_date,age,gender,detected_city,detected_district,detected_state,nationality,current_status,status_change_date,notes
1,GID-1,2020-11-12,94,Male,Ahmedabad,West,Telangana,India,Migrated,2020-07-04,Ut adipiscing sed ipsum dolore sit labore amet
2,GID-2,2021-05-07,27,Male,Jaipur,Suburban,Uttar Pradesh,India,Deceased,2021-06-06,Consectetur sed dolore amet elit eiusmod labore lorem
3,GID-3,2020-09-17,60,Female,Hyderabad,East,Uttar Pradesh,India,Migrated,2020-12-18,Sed aliqua do sit adipiscing elit lorem incididunt
4,GID-4,2021-05-25,67,Male,Lucknow,Central,Tamil Nadu,China,Hospitalized,2021-09-18,Ut adipiscing aliqua dolore sit incididunt elit magna
5,GID-5,2020-07-27,87,Male,Jaipur,West,Andhra Pradesh,India,Deceased,2020-05-16,Consectetur elit adipiscing ut dolore incididunt aliqua et
6,GID-6,2020-08-01,84,Transgender,Lucknow,South,Tamil Nadu,India,Recovered,2020-03-04,Labore ut dolore dolor sit magna lorem elit
7,GID-7,2020-05-04,32,Transgender,Pune,East,Kerala,India,Deceased,2021-01-29,Tempor adipiscing do aliqua consectetur eiusmod incididunt ut
8,GID-8,2021-05-14,64,Female,Pune,Suburban,Tamil Nadu,China,Deceased,2021-08-23,Ut et incididunt dolore aliqua tempor adipiscing dolor
9,GID-9,2020-05-08,80,Female,Chennai,South,Andhra Pradesh,India,Recovered,2021-07-06,Sit tempor lorem labore amet aliqua ipsum dolor
10,GID-10,2020-03-23,24,Female,Ahmedabad,West,Rajasthan,United States,Deceased,2020-12-04,Labore elit dolor consectetur lorem sed amet eiusmod
11,GID-11,2021-05-13,60,Female,Ahmedabad,South,Telangana,China,Recovered,2021-04-02,Do dolore adipiscing et elit consectetur eiusmod amet
12,GID-12,2020-10-19,42,Female,Lucknow,West,Gujarat,China,Recovered,2021-02-21,Do magna adipiscing aliqua et dolor tempor amet
13,GID-13,2021-07-14,8,Male,Bengaluru,Suburban,Kerala,India,Recovered,2020-12-09,Magna amet dolore incididunt tempor dolor et labore
14,GID-14,2020-12-10,93,Female,Bengaluru,Central,Maharashtra,India,Recovered,2021-07-28,Aliqua labore dolore elit ipsum incididunt et sed
15,GID-15,,94,,,,,,,,
16,GID-16,2020-06-15,36,Female,Ahmedabad,North,Telangana,India,Deceased,2021-09-08,Eiusmod adipiscing amet sit sed ut magna labore
17,GID-17,2021-06-16,88,Female,Kolkata,West,Kerala,Italy,Deceased,2020-06-27,Adipiscing labore do et ut magna tempor amet
18,GID-18,2021-05-19,35,Transgender,Mumbai,Suburban,Kerala,India,Migrated,2021-07-01,Elit consectetur lorem adipiscing incididunt dolore ipsum tempor
19,GID-19,2021-05-11,81,Male,Jaipur,East,Kerala,United States,Recovered,2020-05-29,Sed elit labore adipiscing amet dolore et lorem
20,GID-20,2020-09-25,62,Transgender,Hyderabad,East,Tamil Nadu,Italy,Hospitalized,2020-08-07,Tempor magna elit lorem consectetur ipsum do sed
21,GID-21,2020-05-04,36,Female,Chennai,Suburban,Delhi,India,Hospitalized,2021-08-07,Magna et dolor adipiscing elit lorem eiusmod amet
22,GID-22,2020-08-29,13,Female,Mumbai,Suburban,Karnataka,India,Migrated,2021-04-08,Aliqua labore eiusmod adipiscing lorem sit elit do
23,GID-23,2021-05-14,57,Male,Pune,North,Uttar Pradesh,India,Recovered,2020-10-26,Lorem do incididunt tempor eiusmod ut ipsum magna
24,GID-24,2021-04-01,74,Female,Hyderabad,South,Rajasthan,Italy,Migrated,2020-10-01,Consectetur labore dolor tempor ut magna do adipiscing
